epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.796421557931486,0.19662921348314608,0.09762900976290098,0.13047530288909598,0.5261655991763116,0.18109513446182288,3580,286,647,70,3866,717,0.8469363614856873,0.926021727884118,0.8847151360626676,0.807220426077644,0.8513986013986014,0.0,0.0,0.0,0.6774248097596328,0.2956516892516809,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.4146280247304175
2,0.8435522583460615,0.5,0.03626220362622036,0.06762028608582575,0.6856372581912478,0.28850572847246353,3840,26,691,26,3866,717,0.8474950342087839,0.9932747025349198,0.9146123118712939,0.404881105137368,0.8513986013986014,0.0,0.0,0.0,0.6694045174537988,0.2765717938275756,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.41406483203172684
3,0.8409338861008073,0.3333333333333333,0.016736401673640166,0.03187250996015936,0.7045793496353794,0.2863884398268026,3842,24,705,12,3866,717,0.844952716076534,0.9937920331091568,0.9133483397249779,0.4008323277036349,0.8531468531468531,1.0,0.011764705882352941,0.023255813953488372,0.6763618794540402,0.29929104035543536,487,0,84,1,487,85,0.8528896672504378,1.0,0.9206048652490191,0.4065173210369216
4,0.8431158629718525,0.4838709677419355,0.04184100418410042,0.07702182284980745,0.6996142027084458,0.302906676595021,3834,32,687,30,3866,717,0.8480424684804246,0.991722710812209,0.9142720380598189,0.39983023785882527,0.8444055944055944,0.3,0.03529411764705882,0.06315789473684211,0.6806136006764101,0.282189872678664,480,7,82,3,487,85,0.8540925266903915,0.9856262833675564,0.9151572429152672,0.40897978511121535
5,0.8418066768492254,0.4166666666666667,0.02789400278940028,0.05228758169934641,0.6945170174341124,0.283283895241259,3838,28,697,20,3866,717,0.8463065049614112,0.9927573719606829,0.9137007002278014,0.40589966242098147,0.8513986013986014,0.0,0.0,0.0,0.6583162217659138,0.25260741500347583,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.4093203196922938
6,0.8426794675976435,0.43333333333333335,0.01813110181311018,0.03480589022757698,0.6972573542834178,0.2818715703264931,3849,17,704,13,3866,717,0.8453766747199648,0.9956026901189861,0.9143603256744295,0.40269347383744186,0.8513986013986014,0.0,0.0,0.0,0.6643555985022345,0.26965824122345267,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.40858056727382874
7,0.843334060658957,0.4838709677419355,0.02092050209205021,0.040106951871657755,0.7085946141341639,0.30862407656393226,3850,16,702,15,3866,717,0.8457820738137083,0.9958613554061045,0.914706531467712,0.397428791038692,0.8496503496503497,0.4,0.023529411764705882,0.044444444444444446,0.6831742964126102,0.2739988158347854,484,3,83,2,487,85,0.8536155202821869,0.9938398357289527,0.9184060223943149,0.4033336208926307
8,0.8411520837879118,0.4,0.030683403068340307,0.05699481865284974,0.7138113915182318,0.30659206603902434,3833,33,695,22,3866,717,0.8465106007067138,0.9914640455250905,0.9132713346331287,0.39698537056230837,0.8461538461538461,0.3333333333333333,0.03529411764705882,0.06382978723404255,0.6974755405242181,0.3174296590226507,481,6,82,3,487,85,0.8543516873889876,0.9876796714579056,0.9161904264524291,0.4166185094250573
9,0.8444250490944796,0.5454545454545454,0.03347280334728033,0.06307490144546649,0.6993414677613583,0.2958799036926515,3846,20,693,24,3866,717,0.8473231989424983,0.9948266942576306,0.9151694922598957,0.4014651168965631,0.8531468531468531,1.0,0.011764705882352941,0.023255813953488372,0.6894310907114386,0.30488278194814855,487,0,84,1,487,85,0.8528896672504378,1.0,0.9206048652490191,0.40264782392316395
10,0.8422430722234344,0.44,0.030683403068340307,0.05736636245110821,0.7056695679027043,0.29814423055607775,3838,28,695,22,3866,717,0.8466799029340393,0.9927573719606829,0.9139182739252871,0.40035806637671256,0.8531468531468531,1.0,0.011764705882352941,0.023255813953488372,0.6963642952047349,0.3081185305655946,487,0,84,1,487,85,0.8528896672504378,1.0,0.9206048652490191,0.3971434732278188
11,0.8404974907265983,0.3409090909090909,0.02092050209205021,0.03942181340341656,0.7152708481696094,0.29525710232351127,3837,29,702,15,3866,717,0.845340383344349,0.9924987066735644,0.9130279098684623,0.39469520100909805,0.8513986013986014,0.0,0.0,0.0,0.6627612030438458,0.2708219121650273,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.4123307400279575
12,0.842897665284748,0.4716981132075472,0.03486750348675035,0.06493506493506493,0.7174106991466571,0.3171316670859275,3838,28,692,25,3866,717,0.8472406181015453,0.9927573719606829,0.9142448288263048,0.39332809588975376,0.8513986013986014,0.0,0.0,0.0,0.6864114023432781,0.2973255252120194,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.3999444676770104
13,0.8422430722234344,0.4318181818181818,0.026499302649930265,0.04993429697766097,0.7186540602513346,0.31184962234011376,3841,25,698,19,3866,717,0.8462216347213043,0.9935333678220383,0.9139797242646549,0.39587664552446866,0.8531468531468531,0.5714285714285714,0.047058823529411764,0.08695652173913043,0.6988766759270444,0.3161562642863037,484,3,81,4,487,85,0.856637168141593,0.9938398357289527,0.9201520415296257,0.3999654973546664
14,0.8402792930394938,0.3584905660377358,0.026499302649930265,0.04935064935064935,0.7251463064256497,0.3246474342357937,3832,34,698,19,3866,717,0.8459161147902869,0.9912053802379721,0.912815576801531,0.3907540330870284,0.8513986013986014,0.5,0.011764705882352941,0.022988505747126436,0.6930064017393405,0.31712303498563643,486,1,84,1,487,85,0.8526315789473684,0.997946611909651,0.9195836778390519,0.40310220668713254
15,0.8424612699105389,0.45901639344262296,0.03905160390516039,0.07197943444730077,0.7227418376130353,0.3276755876064214,3833,33,689,28,3866,717,0.8476337903582486,0.9914640455250905,0.913924604573821,0.39035728946328163,0.8513986013986014,0.0,0.0,0.0,0.7115110520594274,0.3524436729731094,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.3963821960820092
16,0.8424612699105389,0.47191011235955055,0.058577405857740586,0.10421836228287841,0.7284079422148244,0.3257688512854756,3819,47,675,42,3866,717,0.849799732977303,0.987842731505432,0.9136363139185141,0.39004005771130323,0.8513986013986014,0.0,0.0,0.0,0.679913032974997,0.2955843058565789,487,0,85,0,487,85,0.8513986013986014,1.0,0.9197355499444065,0.4214980908566051
17,0.8448614444686886,0.53,0.07391910739191074,0.12974296205630356,0.7338480303558326,0.3435552793785378,3819,47,664,53,3866,717,0.8518848985054651,0.987842731505432,0.9148400508839226,0.3878444293513894,0.8531468531468531,0.6666666666666666,0.023529411764705882,0.045454545454545456,0.7170431211498972,0.3660622278780189,486,1,83,2,487,85,0.8541300527240774,0.997946611909651,0.920454495756036,0.3958895578980446
18,0.8435522583460615,0.5,0.06276150627615062,0.11152416356877323,0.7314823432982602,0.3396058298887171,3821,45,672,45,3866,717,0.8504340084576008,0.9883600620796689,0.9142241397776711,0.38647229317575693,0.8496503496503497,0.0,0.0,0.0,0.699963763739582,0.31307697757201525,486,1,85,0,487,85,0.851138353765324,0.997946611909651,0.918714506080777,0.4014410740799374
19,0.8409338861008073,0.4318181818181818,0.05299860529986053,0.09440993788819876,0.7348110805426704,0.33206559879471426,3816,50,679,38,3866,717,0.8489432703003337,0.9870667356440765,0.9128094228341124,0.3866103929984901,0.8513986013986014,0.5,0.03529411764705882,0.06593406593406594,0.7107621693441236,0.31294382026159595,484,3,82,3,487,85,0.8551236749116607,0.9938398357289527,0.9192782028930166,0.409885682993465
20,0.8426794675976435,0.4787234042553192,0.06276150627615062,0.11097410604192355,0.7478067564671734,0.34383240343463517,3817,49,672,45,3866,717,0.8503007351303186,0.987325400931195,0.9137043189195401,0.3810732423638304,0.8479020979020979,0.45454545454545453,0.11764705882352941,0.18691588785046728,0.7143857953859162,0.34666466824548464,475,12,75,10,487,85,0.8636363636363636,0.9753593429158111,0.9161040967612074,0.41173800660504234
21,0.8402792930394938,0.43478260869565216,0.0697350069735007,0.1201923076923077,0.7456584276180932,0.3441957921022712,3801,65,667,50,3866,717,0.8507162041181737,0.9831867563372996,0.9121669768987608,0.38256376009020543,0.8583916083916084,0.6428571428571429,0.10588235294117647,0.18181818181818182,0.7102790192052181,0.31878502589743485,482,5,76,9,487,85,0.8637992831541219,0.9897330595482546,0.9224879885083243,0.40620430558919907
22,0.8420248745363299,0.4740740740740741,0.08926080892608089,0.15023474178403756,0.745421768722208,0.3425944354696902,3795,71,653,64,3866,717,0.8531924460431655,0.9816347646145888,0.9129179199346996,0.38507550075236296,0.8513986013986014,0.5,0.011764705882352941,0.022988505747126436,0.6817006884889478,0.28796975563721,486,1,84,1,487,85,0.8526315789473684,0.997946611909651,0.9195836778390519,0.4390343866414494
23,0.843334060658957,0.49612403100775193,0.08926080892608089,0.15130023640661938,0.7489878863835274,0.3508405340284629,3801,65,653,64,3866,717,0.8533902110462506,0.9831867563372996,0.91370187332666,0.38149413238796925,0.8496503496503497,0.47368421052631576,0.10588235294117647,0.17307692307692307,0.705157627732818,0.3048116735205037,477,10,76,9,487,85,0.8625678119349005,0.9794661190965093,0.9173076425090634,0.4158502866824468
