epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.8152046783625732,0.2226148409893993,0.07964601769911504,0.11731843575418995,0.5891244814837584,0.20591140071417385,4119,220,728,63,4339,791,0.8498040024757582,0.9492970730583083,0.8967994276186245,0.6994635406765879,0.8551401869158879,0.0,0.0,0.0,0.759604743083004,0.3397929081432655,549,1,92,0,550,92,0.8564742589703588,0.9981818181818182,0.921914307974519,0.36993748659179326
2,0.8475633528265107,0.536,0.08470290771175727,0.1462882096069869,0.7640259790586015,0.3673423318253349,4281,58,724,67,4339,791,0.8553446553446553,0.9866328647153723,0.9163098817608633,0.3716660959657675,0.8566978193146417,0.5,0.09782608695652174,0.16363636363636364,0.7791106719367589,0.33560928977417115,541,9,83,9,550,92,0.8669871794871795,0.9836363636363636,0.9216353846109224,0.3651136897859119
3,0.8461988304093567,0.504950495049505,0.12895069532237674,0.2054380664652568,0.7835464019773034,0.3782092965920143,4239,100,689,102,4339,791,0.8601866883116883,0.9769532150265038,0.914859127929409,0.3637149098867215,0.8489096573208723,0.4489795918367347,0.2391304347826087,0.3120567375886525,0.7859288537549407,0.34388376384828045,523,27,70,22,550,92,0.8819561551433389,0.9509090909090909,0.9151355581197609,0.3875031102271307
4,0.8446393762183236,0.484375,0.11757269279393173,0.18921668362156663,0.7856882087578365,0.38186028359510715,4240,99,698,93,4339,791,0.8586472255974078,0.9771836828762388,0.9140885564389183,0.36209603213930724,0.8613707165109035,0.5789473684210527,0.11956521739130435,0.1981981981981982,0.8014229249011857,0.3702139645133987,542,8,81,11,550,92,0.869983948635634,0.9854545454545455,0.9241261224016674,0.36445034614631105
5,0.8489278752436648,0.5330578512396694,0.16308470290771176,0.24975798644724104,0.8049391212327903,0.4076553625079497,4226,113,662,129,4339,791,0.8645662847790507,0.9739571329799493,0.9160073198529619,0.3526552232526104,0.8598130841121495,0.5333333333333333,0.17391304347826086,0.26229508196721313,0.810592885375494,0.3912509795638236,536,14,76,16,550,92,0.8758169934640523,0.9745454545454545,0.9225472823282336,0.3721182005746024
6,0.8508771929824561,0.5537190082644629,0.16940581542351454,0.25943852855759925,0.7956911252978819,0.40197185391172857,4231,108,657,134,4339,791,0.8655891980360065,0.9751094722286241,0.917091095728111,0.35579600199038935,0.8551401869158879,0.4444444444444444,0.043478260869565216,0.07920792079207921,0.8145059288537548,0.40615387592858115,545,5,88,4,550,92,0.8609794628751974,0.990909090909091,0.9213862562478188,0.3785397005932672
7,0.8553606237816764,0.5910780669144982,0.20101137800252844,0.3,0.7972022776400443,0.42163938497028797,4229,110,632,159,4339,791,0.8699855996708497,0.9746485365291542,0.9193477762479256,0.354010631393942,0.8551401869158879,0.48484848484848486,0.17391304347826086,0.256,0.8169367588932805,0.40031831841178783,533,17,76,16,550,92,0.8752052545155994,0.9690909090909091,0.9197583625540774,0.3668162780148642
8,0.8580896686159845,0.6153846153846154,0.21238938053097345,0.3157894736842105,0.8123420632379306,0.4510521619811002,4234,105,623,168,4339,791,0.8717315215153387,0.975800875777829,0.920835095874178,0.3424377324788467,0.8566978193146417,0.5,0.21739130434782608,0.30303030303030304,0.8132411067193676,0.39106708860566464,530,20,72,20,550,92,0.8803986710963455,0.9636363636363636,0.9201388389907675,0.38787442658628735
9,0.856140350877193,0.5852090032154341,0.23008849557522124,0.33030852994555354,0.8234123868165398,0.45091467911796035,4210,129,609,182,4339,791,0.8736252334509235,0.9702696473841899,0.9194146695084014,0.3401541611792878,0.8504672897196262,0.47368421052631576,0.391304347826087,0.42857142857142855,0.8208102766798419,0.40695081899812013,510,40,56,36,550,92,0.901060070671378,0.9272727272727272,0.913978444633936,0.4022415230671565
10,0.8569200779727095,0.5871559633027523,0.2427307206068268,0.3434704830053667,0.8159077592493797,0.4448342179479219,4204,135,599,192,4339,791,0.8752862794087028,0.9688868402857801,0.9197111730559544,0.3423447134609548,0.8644859813084113,0.6470588235294118,0.11956521739130435,0.2018348623853211,0.8242094861660079,0.42273831978721965,544,6,81,11,550,92,0.8704,0.9890909090909091,0.9259573970122253,0.37305790398802074
11,0.8567251461988304,0.5927152317880795,0.22629582806573956,0.3275388838060384,0.8194463585351335,0.4502747311228498,4216,123,612,179,4339,791,0.8732394366197183,0.9716524544825996,0.9198210475569186,0.3399133189864781,0.8535825545171339,0.4,0.043478260869565216,0.0784313725490196,0.8247035573122529,0.4186497230280414,544,6,88,4,550,92,0.8607594936708861,0.9890909090909091,0.9204737235062913,0.38986288011074066
12,0.8586744639376218,0.6050955414012739,0.2402022756005057,0.3438914027149321,0.827338498416007,0.4715469703043229,4215,124,601,190,4339,791,0.8752076411960132,0.9714219866328647,0.9208082516103412,0.3337403298905177,0.8551401869158879,0.49122807017543857,0.30434782608695654,0.37583892617449666,0.8321146245059287,0.43010272758643864,521,29,64,28,550,92,0.8905982905982905,0.9472727272727273,0.9180616240563593,0.3927140917096819
13,0.8594541910331384,0.6047904191616766,0.2553729456384324,0.3591111111111111,0.8257826219083146,0.4734353477213535,4207,132,589,202,4339,791,0.8771893244370309,0.969578243834985,0.9210727470600055,0.33413498339630804,0.8660436137071651,0.625,0.16304347826086957,0.25862068965517243,0.836304347826087,0.43425573227904146,541,9,77,15,550,92,0.8754045307443366,0.9836363636363636,0.9263698131831749,0.3831637530099778
14,0.8643274853801169,0.6376811594202898,0.2781289506953224,0.3873239436619718,0.8321762837219481,0.48602280100882556,4214,125,571,220,4339,791,0.8806687565308255,0.9711915187831297,0.9237176178090853,0.32847486677006904,0.8660436137071651,0.6,0.1956521739130435,0.29508196721311475,0.8375889328063242,0.4426889909069615,538,12,74,18,550,92,0.8790849673202614,0.9781818181818182,0.9259896231199721,0.3749825862191972
15,0.8627680311890839,0.6363636363636364,0.25663716814159293,0.36576576576576575,0.8261500301997378,0.4844973976268385,4223,116,588,203,4339,791,0.8777800872999376,0.9732657294307444,0.9230600594226692,0.3328481669196431,0.8660436137071651,0.6071428571428571,0.18478260869565216,0.2833333333333333,0.8379446640316206,0.45488658417104166,539,11,75,17,550,92,0.8778501628664495,0.98,0.9261167886391306,0.38378221293290454
16,0.8625730994152047,0.6272189349112426,0.26801517067003794,0.3755535872453499,0.8294022200085136,0.4838493443557749,4213,126,579,212,4339,791,0.8791736227045075,0.9709610509333948,0.9227904440448711,0.33139325048982726,0.8629283489096573,0.5666666666666667,0.18478260869565216,0.2786885245901639,0.8382608695652174,0.4499618810698552,537,13,75,17,550,92,0.8774509803921569,0.9763636363636363,0.9242684527241029,0.38062758105141775
