epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.8068953508619189,0.11604095563139932,0.10318664643399089,0.10923694779116466,0.49284687955548606,0.11218780137677804,4566,518,591,68,5084,659,0.8853984874927283,0.8981117230527144,0.8917097439679764,1.0650733766870366,0.8654646324549237,0.0,0.0,0.0,0.5963851440655564,0.16524393800664042,624,0,97,0,624,97,0.8654646324549237,1.0,0.9278809911522531,0.7406057132327039
2,0.8304022288002786,0.2045028142589118,0.165402124430956,0.18288590604026847,0.6150712043735053,0.16289071085946813,4660,424,550,109,5084,659,0.8944337811900192,0.9166011014948859,0.9053817257992172,0.8689526237236956,0.8654646324549237,0.0,0.0,0.0,0.7824808353158869,0.28044166632116163,624,0,97,0,624,97,0.8654646324549237,1.0,0.9278809911522531,0.455678496023883
3,0.8337106042138255,0.21755725190839695,0.17298937784522003,0.19273034657650043,0.6943009936854471,0.19588049443212363,4674,410,545,114,5084,659,0.8955738647250431,0.9193548387096774,0.9073085009160897,0.6846520021971729,0.8654646324549237,0.0,0.0,0.0,0.8089148823684905,0.35950491740587687,624,0,97,0,624,97,0.8654646324549237,1.0,0.9278809911522531,0.45185108612412994
4,0.8382378547797319,0.2462406015037594,0.19878603945371776,0.21998320738874896,0.7107693928645193,0.2115020337274231,4683,401,528,131,5084,659,0.8986758779504893,0.9211250983477577,0.9097619704058633,0.5808958537048764,0.8654646324549237,0.0,0.0,0.0,0.8196537139836109,0.37772756735197593,624,0,97,0,624,97,0.8654646324549237,1.0,0.9278809911522531,0.42934739071389905
5,0.8417203552150444,0.23404255319148937,0.1669195751138088,0.19486271036315322,0.7288300109003342,0.21934600300190998,4724,360,549,110,5084,659,0.8958846956191922,0.9291896144767899,0.9122332221997177,0.5005517100708352,0.8654646324549237,0.0,0.0,0.0,0.8075601374570447,0.337300541106593,624,0,97,0,624,97,0.8654646324549237,1.0,0.9278809911522531,0.4608449385217998
6,0.8518196064774508,0.2808219178082192,0.18664643399089528,0.22424794895168643,0.7295603810460739,0.23090345064458362,4769,315,536,123,5084,659,0.8989632422243167,0.9380409126671911,0.9180863876008363,0.464039516221318,0.8613037447988904,0.4634146341463415,0.1958762886597938,0.2753623188405797,0.8350845889505683,0.4221859997085932,602,22,78,19,624,97,0.8852941176470588,0.9647435897435898,0.9233128335277981,0.31404732621234394
7,0.855476231934529,0.3006993006993007,0.19575113808801214,0.23713235294117646,0.7567649527393506,0.2602379114378683,4784,300,530,129,5084,659,0.9002634550244637,0.940991345397325,0.9201769071316027,0.40877332041660946,0.8682385575589459,0.6666666666666666,0.041237113402061855,0.07766990291262135,0.8463521015067407,0.46118526937308174,622,2,93,4,624,97,0.8699300699300699,0.9967948717948718,0.9290514812242173,0.32676009574662085
8,0.8622671077833884,0.324468085106383,0.18512898330804248,0.2357487922705314,0.7690452895155022,0.2606987331358401,4830,254,537,122,5084,659,0.8999441028507547,0.9500393391030685,0.9243134128631894,0.36975997992687754,0.871012482662968,0.75,0.061855670103092786,0.11428571428571428,0.8497554850647634,0.45943005535860315,622,2,91,6,624,97,0.8723702664796634,0.9967948717948718,0.9304412366837894,0.3327530143053635
9,0.8683614835451855,0.3649025069637883,0.19878603945371776,0.25736738703339884,0.7691755741777889,0.2806912456846594,4856,228,528,131,5084,659,0.9019316493313522,0.955153422501967,0.9277798506906677,0.35628935098648074,0.8723994452149791,0.7272727272727273,0.08247422680412371,0.14814814814814814,0.8589578376949512,0.4870480448758945,621,3,89,8,624,97,0.8746478873239436,0.9951923076923077,0.931034432966428,0.3044265327246293
10,0.8706251088281386,0.37790697674418605,0.19726858877086495,0.259222333000997,0.7920665744177633,0.2974263171796977,4870,214,529,130,5084,659,0.9020188923874791,0.9579071597167584,0.929123292599761,0.3307184314148294,0.869625520110957,0.8,0.041237113402061855,0.0784313725490196,0.8571404969600847,0.48080814535960836,623,1,93,4,624,97,0.8701117318435754,0.9983974358974359,0.9298506965043466,0.3156002448952716
