epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.8671426083928261,0.170886075949367,0.0409711684370258,0.0660954712362301,0.6457442134507498,0.1878048607121101,4953,131,632,27,5084,659,0.8868397493285587,0.9742328874901652,0.9284843441490616,0.5244763481120268,0.8682385575589459,0.625,0.0515463917525773,0.0952380952380952,0.8239822891884747,0.4099207246152974,621,3,92,5,624,97,0.8709677419354839,0.9951923076923076,0.9289453503711492,0.3242916393539179
2,0.8875152359394045,0.6140350877192983,0.0531107738998482,0.0977653631284916,0.8046255383010044,0.3366195034065836,5062,22,624,35,5084,659,0.8902567710165318,0.9956726986624704,0.9400185202583564,0.2936712554345528,0.8668515950069348,0.6666666666666666,0.0206185567010309,0.04,0.8381079830822099,0.4314886655019531,623,1,95,2,624,97,0.8676880222841226,0.998397435897436,0.9284649278906212,0.3104925991400428
3,0.8866446108305763,0.5526315789473685,0.0637329286798179,0.1142857142857142,0.811806715465461,0.3461000618602989,5050,34,617,42,5084,659,0.8911240515263809,0.9933123524783636,0.9394474434034752,0.2911468114703893,0.8654646324549237,0.0,0.0,0.0,0.8505319851969336,0.4706909963090251,624,0,97,0,624,97,0.8654646324549237,1.0,0.9278809911522532,0.3135858767706415
4,0.8859481107435139,0.5256410256410257,0.0622154779969651,0.1112618724559023,0.8162323645606616,0.3549264402861958,5047,37,618,41,5084,659,0.8909090909090909,0.9927222659323368,0.9390640491320332,0.2855693288975292,0.8779472954230236,0.6,0.2783505154639175,0.380281690140845,0.8521841131377214,0.4788045273760317,606,18,70,27,624,97,0.8964497041420119,0.971153846153846,0.9323076423876948,0.3102580172860104
5,0.8864704858088107,0.5263157894736842,0.1062215477996965,0.1767676767676767,0.8193096494820252,0.3713474165271418,5021,63,589,70,5084,659,0.8950089126559715,0.9876081825334382,0.939031182587772,0.2862415791385703,0.869625520110957,0.8,0.0412371134020618,0.0784313725490196,0.8554553264604811,0.4662754759335261,623,1,93,4,624,97,0.8701117318435754,0.998397435897436,0.9298506965043466,0.2974831552609153
6,0.8894306111788264,0.5857142857142857,0.1244309559939302,0.2052565707133917,0.8298133093915989,0.3912912867005319,5026,58,577,82,5084,659,0.8970194538640014,0.9885916601101497,0.9405819656508144,0.2785504138718048,0.8793342579750347,0.625,0.2577319587628865,0.364963503649635,0.8610229976209357,0.4903192065138474,609,15,72,25,624,97,0.8942731277533039,0.9759615384615384,0.933333283428725,0.2965364015620688
7,0.8873411109176389,0.532967032967033,0.1471927162367223,0.2306777645659928,0.8324748176014728,0.3838664749119594,4999,85,562,97,5084,659,0.8989390397410537,0.9832808811959088,0.939220241316932,0.2788996789190504,0.8723994452149791,0.6086956521739131,0.1443298969072164,0.2333333333333333,0.8610560401797516,0.5228397063046015,615,9,83,14,624,97,0.8810888252148997,0.9855769230769232,0.93040842216877,0.2952336429253868
8,0.890127111265889,0.5686274509803921,0.1760242792109256,0.2688296639629201,0.8354631567511035,0.3961248973501826,4996,88,543,116,5084,659,0.9019678642354216,0.982690794649882,0.940600533731003,0.2748772081401613,0.8765603328710125,0.8333333333333334,0.1030927835051546,0.1834862385321101,0.865979381443299,0.5302467111618239,622,2,87,10,624,97,0.8772919605077574,0.9967948717948718,0.9332332585303892,0.29521669641785
9,0.8948284868535609,0.6303317535545023,0.2018209408194233,0.3057471264367816,0.8370241848925906,0.426280784194557,5006,78,526,133,5084,659,0.9049168474331164,0.9846577498033044,0.9431046976399132,0.2739482873843776,0.8821081830790569,0.6764705882352942,0.2371134020618556,0.3511450381679389,0.8718774781919112,0.5399692724761845,613,11,74,23,624,97,0.8922852983988355,0.9823717948717948,0.9351639470643603,0.2808321422856787
10,0.8930872366359046,0.6178010471204188,0.1790591805766312,0.2776470588235294,0.8355676232615281,0.4183517539954947,5011,73,541,118,5084,659,0.902557636887608,0.9856412273800156,0.9422714807474296,0.2746269380466805,0.8848821081830791,0.6842105263157895,0.268041237113402,0.3851851851851852,0.8679123711340206,0.5507036248110017,612,12,71,26,624,97,0.8960468521229868,0.9807692307692308,0.9364957419917146,0.2805733758470286
11,0.8922166115270764,0.5854700854700855,0.2078907435508346,0.3068309070548712,0.8423922711496926,0.4364208004135229,4987,97,522,137,5084,659,0.9052459611544744,0.9809205350118018,0.9415651346363256,0.2706424178348647,0.8862690707350902,0.7419354838709677,0.2371134020618556,0.359375,0.8716131377213852,0.5598985843705888,616,8,74,23,624,97,0.8927536231884058,0.9871794871794872,0.9375950795020982,0.278240648948628
12,0.8906494863311858,0.5688888888888889,0.1942336874051593,0.2895927601809955,0.8424257004330286,0.4235171536191967,4987,97,531,128,5084,659,0.9037694816962668,0.9809205350118018,0.940765843311482,0.2707240699893898,0.8876560332871013,0.7857142857142857,0.2268041237113402,0.352,0.870820116309807,0.5684885387011587,618,6,75,22,624,97,0.8917748917748918,0.9903846153846154,0.9384965332807556,0.2791241627672444
13,0.8948284868535609,0.643979057591623,0.1866464339908952,0.2894117647058823,0.839258723550572,0.4295001198378399,5016,68,536,123,5084,659,0.903458213256484,0.9866247049567268,0.9432116838312958,0.2724696893658903,0.8848821081830791,0.6944444444444444,0.2577319587628865,0.3759398496240601,0.8726870208828972,0.5564828673015693,613,11,72,25,624,97,0.8948905109489051,0.9823717948717948,0.936592769054343,0.2759141656367675
