epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_true_negatives,train_false_positives,train_false_negatives,train_true_positives,train_support_negative,train_support_positive,train_precision_negative,train_recall_negative,train_f1_negative,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_true_negatives,val_false_positives,val_false_negatives,val_true_positives,val_support_negative,val_support_positive,val_precision_negative,val_recall_negative,val_f1_negative,val_loss
1,0.9407689643228264,0.06349206349206349,0.013937282229965157,0.022857142857142857,0.5111286163240449,0.05655917885487993,5428,59,283,4,5487,287,0.9504465067413763,0.989247311827957,0.9694587819542837,0.3917266292618433,0.9501385041551247,0.0,0.0,0.0,0.721695821185617,0.14838014267885244,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.20517150280268295
2,0.9502944232767578,0.0,0.0,0.0,0.6109524635041711,0.07290351193957116,5487,0,287,0,5487,287,0.9502944232767578,1.0,0.9745137587528421,0.20514652914064035,0.9501385041551247,0.0,0.0,0.0,0.7178085519922255,0.11636491922965611,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.1900316531891408
3,0.9497748527883616,0.0,0.0,0.0,0.678715100436953,0.08810862111001982,5484,3,287,0,5487,287,0.9502685843008144,0.9994532531437944,0.9742404900922228,0.19314313075345688,0.9501385041551247,0.0,0.0,0.0,0.6920149011985747,0.11317857681718713,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.193802818979906
4,0.9502944232767578,0.0,0.0,0.0,0.6744379651872751,0.09852601780117559,5487,0,287,0,5487,287,0.9502944232767578,1.0,0.9745137587528421,0.1925616694192366,0.9501385041551247,0.0,0.0,0.0,0.7044865565273729,0.10574704997615102,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.19002722203731537
5,0.9501212331139591,0.0,0.0,0.0,0.6804039195589957,0.09543744043249801,5486,1,287,0,5487,287,0.9502858132686645,0.9998177510479315,0.9744226853786183,0.18973942501316085,0.9501385041551247,0.0,0.0,0.0,0.712949465500486,0.12249541456739559,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.19266162262014722
6,0.9502944232767578,0.5,0.003484320557491289,0.006920415224913495,0.7037902066906321,0.13180459490569055,5486,1,286,1,5487,287,0.9504504504504504,0.9998177510479315,0.9745092314957581,0.18428566280073225,0.9501385041551247,0.0,0.0,0.0,0.7217363135730482,0.12488190394865269,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.19058374639438547
7,0.9502944232767578,0.0,0.0,0.0,0.694952085035964,0.11544415017895254,5487,0,287,0,5487,287,0.9502944232767578,1.0,0.9745137587528421,0.18738330921250812,0.9501385041551247,0.0,0.0,0.0,0.7268788467768059,0.1361370453764632,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.1909061641148899
8,0.9501212331139591,0.0,0.0,0.0,0.7025252592602471,0.12060768170613806,5486,1,287,0,5487,287,0.9502858132686645,0.9998177510479315,0.9744226853786183,0.1865394933776961,0.9501385041551247,0.0,0.0,0.0,0.7401198574667962,0.13641130206080554,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.18480408191680908
9,0.9504676134395567,1.0,0.003484320557491289,0.006944444444444444,0.7177027233835566,0.1318731121174572,5487,0,286,1,5487,287,0.9504590334314914,1.0,0.9746003052720466,0.18381034667238347,0.9501385041551247,0.0,0.0,0.0,0.7249757045675413,0.130629810992952,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.1867010045958602
10,0.9501212331139591,0.3333333333333333,0.003484320557491289,0.006896551724137931,0.7272368201304446,0.13671434842316474,5485,2,286,1,5487,287,0.9504418644948882,0.9996355020958629,0.9744181415400822,0.18493268391868686,0.9487534626038782,0.0,0.0,0.0,0.7321428571428572,0.1426877842256385,685,1,36,0,686,36,0.9500693481276006,0.9985422740524781,0.9737028640323638,0.19562235215435858
11,0.9496016626255629,0.16666666666666666,0.003484320557491289,0.006825938566552901,0.7281671153038953,0.14380492929043578,5482,5,286,1,5487,287,0.9504160887656034,0.9990887552396573,0.9741447745536038,0.18388012877938167,0.9487534626038782,0.0,0.0,0.0,0.7189018464528668,0.10246312916198545,685,1,36,0,686,36,0.9500693481276006,0.9985422740524781,0.9737028640323638,0.19552610393451608
12,0.9504676134395567,1.0,0.003484320557491289,0.006944444444444444,0.7276286236267034,0.14223402354269174,5487,0,286,1,5487,287,0.9504590334314914,1.0,0.9746003052720466,0.18194477193222192,0.9487534626038782,0.0,0.0,0.0,0.7329122125040493,0.1291204646324676,685,1,36,0,686,36,0.9500693481276006,0.9985422740524781,0.9737028640323638,0.18755426079682683
13,0.9502944232767578,0.5,0.003484320557491289,0.006920415224913495,0.7316050798561566,0.15258037461965226,5486,1,286,1,5487,287,0.9504504504504504,0.9998177510479315,0.9745092314957581,0.1807919196805078,0.9487534626038782,0.0,0.0,0.0,0.7557904114026563,0.15857468590259347,685,1,36,0,686,36,0.9500693481276006,0.9985422740524781,0.9737028640323638,0.1832363249167152
14,0.9504676134395567,0.6666666666666666,0.006968641114982578,0.013793103448275862,0.728486527230343,0.15823421724604175,5486,1,285,2,5487,287,0.950615144688962,0.9998177510479315,0.9745957929879414,0.18055167507112685,0.9487534626038782,0.0,0.0,0.0,0.7356252024619372,0.14304327944599163,685,1,36,0,686,36,0.9500693481276006,0.9985422740524781,0.9737028640323638,0.1853142166915147
15,0.9501212331139591,0.0,0.0,0.0,0.7401034691437284,0.16942314768391345,5486,1,287,0,5487,287,0.9502858132686645,0.9998177510479315,0.9744226853786183,0.1788873528413351,0.9501385041551247,0.0,0.0,0.0,0.7305231616456106,0.1464841182838761,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.184463144644447
16,0.9504676134395567,1.0,0.003484320557491289,0.006944444444444444,0.7488241132508958,0.18306141088938033,5487,0,286,1,5487,287,0.9504590334314914,1.0,0.9746003052720466,0.17562097710305155,0.9501385041551247,0.0,0.0,0.0,0.7489067055393586,0.17243920507026086,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.1822403565697048
17,0.9504676134395567,1.0,0.003484320557491289,0.006944444444444444,0.7597044391907638,0.20696355668182295,5487,0,286,1,5487,287,0.9504590334314914,1.0,0.9746003052720466,0.17400730535058687,0.9501385041551247,0.0,0.0,0.0,0.7432377712989957,0.17283976882131738,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.18888669428618057
18,0.9499480429511604,0.4,0.013937282229965157,0.026936026936026935,0.7685736765201754,0.20885799456005044,5481,6,283,4,5487,287,0.9509021512838307,0.9989065062875888,0.9743133443952552,0.17167614659716413,0.9487534626038782,0.0,0.0,0.0,0.7515792031098154,0.19476622716061726,685,1,36,0,686,36,0.9500693481276006,0.9985422740524781,0.9737028640323638,0.1787060453839924
19,0.9497748527883616,0.2857142857142857,0.006968641114982578,0.013605442176870748,0.7524011458188471,0.2029797747129886,5482,5,285,2,5487,287,0.9505808912779609,0.9990887552396573,0.9742313344276123,0.17481217915140793,0.9501385041551247,0.0,0.0,0.0,0.7772108843537415,0.2066156235723498,686,0,36,0,686,36,0.9501385041551247,1.0,0.9744317682145073,0.17241870757678282
20,0.9494284724627641,0.35294117647058826,0.020905923344947737,0.039473684210526314,0.7743675421601517,0.22046756761413944,5476,11,281,6,5487,287,0.951189855827688,0.9979952615272463,0.9740305441234616,0.17029538700223298,0.9487534626038782,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.7765630061548427,0.22039136449735772,684,2,35,1,686,36,0.9513212795549374,0.9970845481049563,0.973665430454632,0.17342369468963664
21,0.9508139937651542,0.5517241379310345,0.05574912891986063,0.10126582278481013,0.7711778679920674,0.24422862711718676,5474,13,271,16,5487,287,0.952828546562228,0.9976307636231092,0.9747150497414835,0.17026050292078962,0.9473684210526315,0.25,0.027777777777777776,0.05,0.7851068999028183,0.23126911515179677,683,3,35,1,686,36,0.9512534818941504,0.9956268221574344,0.9729344229604492,0.17336477987144305
22,0.9511603740907516,0.6086956521739131,0.04878048780487805,0.09032258064516129,0.7770345999953009,0.24484027070489045,5478,9,273,14,5487,287,0.952529994783516,0.9983597594313832,0.9749065170324007,0.16724271492425413,0.9445983379501385,0.35714285714285715,0.1388888888888889,0.2,0.7798428895367672,0.2223834787941856,677,9,31,5,686,36,0.9562146892655368,0.9868804664723032,0.9713055454213513,0.18590691199769144
23,0.9513335642535504,0.5882352941176471,0.06968641114982578,0.12461059190031153,0.7748431674740868,0.2512467957059619,5473,14,267,20,5487,287,0.9534843205574913,0.9974485146710407,0.9749710019537807,0.16874903508909664,0.9487534626038782,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.794460641399417,0.23623097399783183,684,2,35,1,686,36,0.9513212795549374,0.9970845481049563,0.973665430454632,0.1830987722977348
24,0.9497748527883616,0.4482758620689655,0.04529616724738676,0.08227848101265822,0.787425330318288,0.22848814185641597,5471,16,274,13,5487,287,0.9523063533507398,0.9970840167669036,0.9741808617072955,0.16631283736093103,0.9487534626038782,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.7845804988662132,0.23013881932324093,684,2,35,1,686,36,0.9513212795549374,0.9970845481049563,0.973665430454632,0.1705385457886302
